Path,Extension,TopLevelArea,LineCount,NonblankNoncommentLineCount,Category,CurrentRole,MainLine,DirectCallers,DynamicCallRisk,TestCoverage,DocumentationReferences,Decision,TargetPathOrReplacement,Risk,RequiredValidation,Evidence,Notes
analysis/mrlfe/mrlfeEvaluateFitModel.m,.m,analysis,147,130,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,analysis/execution_profiles/benchmarkMRLFEExecutionProfiles.m;analysis/execution_profiles/validateExecutionProfileMatrix.m;analysis/mrlfe/mrlfeBuildFitProblem.m;analysis/performance/run_execution_profile_benchmark.m;analysis/performance/run_execution_profile_regression_smoke.m;app/FitTool_GUI.m;app/fitting/guiEvaluateRequestedFitCurve.m;examples/mrlfe/diagnostics/diagnose_mrlfe_fit_performance.m;examples/mrlfe/fitting/fit_mrlfe_A0Like.m;tests/app/execution_profiles/test_execution_profile_fit_curve_metadata.m;tests/app/execution_profiles/test_execution_profile_surface_metadata.m;tests/app/fitting/test_execution_profile_current_contract.m;tests/app/fitting/test_fit_tool_requested_curve_models.m;tests/app/fitting/test_gui_fit_registry_contract.m;tests/app/fitting/test_gui_mrlfe_fit_full_curve_fast_contract.m;tests/app/fitting/test_gui_mrlfe_fit_route_policy_contract.m;tests/app/fitting/test_gui_mrlfe_fixed_etaS_fit_contract.m;tests/app/fitting/test_mrlfe_fit_grid_policy_performance.m;tests/app/fitting/test_mrlfe_fit_public_solver_characterization.m;tests/app/fitting/test_mrlfe_fit_public_solver_parameter_regression.m;tests/app/fitting/test_mrlfe_fit_uses_public_solver.m;tests/app/gui/test_mrlfe_main_gui_consumer_equivalence.m;tests/models/mrlfe/test_mrlfe_etaS_fit_forward_cache.m;tests/models/mrlfe/test_mrlfe_fit_fast_options_quality.m;tests/models/mrlfe/test_mrlfe_fit_synthetic_A0Like.m;tests/models/mrlfe/test_mrlfe_no_legacy_route_flags.m;tests/models/mrlfe/test_mrlfe_no_legacy_routes.m;tests/models/mrlfe/test_mrlfe_production_core_contract.m;tests/runners/run_core_smoke_tests.m;tests/shared/fitting/test_fit_validation_mrlfe.m;tests/shared/fitting/test_fit_validation_mrlfe_hidden_params.m,none found,tests/app/execution_profiles/test_execution_profile_fit_curve_metadata.m;tests/app/execution_profiles/test_execution_profile_surface_metadata.m;tests/app/fitting/test_execution_profile_current_contract.m;tests/app/fitting/test_fit_tool_requested_curve_models.m;tests/app/fitting/test_gui_fit_registry_contract.m;tests/app/fitting/test_gui_mrlfe_fit_full_curve_fast_contract.m;tests/app/fitting/test_gui_mrlfe_fit_route_policy_contract.m;tests/app/fitting/test_gui_mrlfe_fixed_etaS_fit_contract.m;tests/app/fitting/test_mrlfe_fit_grid_policy_performance.m;tests/app/fitting/test_mrlfe_fit_public_solver_characterization.m;tests/app/fitting/test_mrlfe_fit_public_solver_parameter_regression.m;tests/app/fitting/test_mrlfe_fit_uses_public_solver.m;tests/app/gui/test_mrlfe_main_gui_consumer_equivalence.m;tests/models/mrlfe/test_mrlfe_etaS_fit_forward_cache.m;tests/models/mrlfe/test_mrlfe_fit_fast_options_quality.m;tests/models/mrlfe/test_mrlfe_fit_synthetic_A0Like.m;tests/models/mrlfe/test_mrlfe_no_legacy_route_flags.m;tests/models/mrlfe/test_mrlfe_no_legacy_routes.m;tests/models/mrlfe/test_mrlfe_production_core_contract.m;tests/runners/run_core_smoke_tests.m;tests/shared/fitting/test_fit_validation_mrlfe.m;tests/shared/fitting/test_fit_validation_mrlfe_hidden_params.m,docs/models/mrlfe/README.md;docs/models/mrlfe/fitting_workflow.md;docs/models/mrlfe/production_core.md;docs/models/mrlfe/public_api.md;docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_density_audit.md;docs/workflows/fitting/architecture.md;docs/workflows/gui/mrlfe_atlas_policy_integration.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=31; test references=22; documentation references=8,""
analysis/mrlfe/mrlfeFitDispersionData.m,.m,analysis,97,83,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,app/adapters/guiFitMRLFESolver.m;examples/mrlfe/fitting/fit_mrlfe_A0Like.m;tests/app/fitting/test_gui_mrlfe_fit_full_curve_fast_contract.m;tests/app/fitting/test_mrlfe_fit_uses_public_solver.m;tests/models/mrlfe/test_mrlfe_etaS_fit_forward_cache.m;tests/models/mrlfe/test_mrlfe_fit_synthetic_A0Like.m;tests/models/mrlfe/test_mrlfe_no_legacy_routes.m;tests/runners/run_core_smoke_tests.m;tests/shared/fitting/test_fit_validation_mrlfe.m;tests/shared/fitting/test_fit_validation_mrlfe_hidden_params.m,none found,tests/app/fitting/test_gui_mrlfe_fit_full_curve_fast_contract.m;tests/app/fitting/test_mrlfe_fit_uses_public_solver.m;tests/models/mrlfe/test_mrlfe_etaS_fit_forward_cache.m;tests/models/mrlfe/test_mrlfe_fit_synthetic_A0Like.m;tests/models/mrlfe/test_mrlfe_no_legacy_routes.m;tests/runners/run_core_smoke_tests.m;tests/shared/fitting/test_fit_validation_mrlfe.m;tests/shared/fitting/test_fit_validation_mrlfe_hidden_params.m,docs/models/mrlfe/fitting_workflow.md;docs/models/mrlfe/production_core.md;docs/models/mrlfe/public_api.md;docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_density_audit.md;docs/workflows/fitting/architecture.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=10; test references=8; documentation references=6,""
analysis/mrlfe/mrlfeMakeSweepSpec.m,.m,analysis,62,50,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,analysis/mrlfe/mrlfeRunSweepExample.m,none found,,docs/repository/maintained_entrypoints.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=1; test references=0; documentation references=1,""
analysis/mrlfe/mrlfeModelCandidateNames.m,.m,analysis,17,13,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,app/adapters/guiNormalizeMRLFESweep.m;app/adapters/guiNormalizeRawResult.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/models/mrlfe/test_mrlfe_model_candidate_names.m;tests/runners/run_mrlfe_smoke_tests.m,none found,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/models/mrlfe/test_mrlfe_model_candidate_names.m;tests/runners/run_mrlfe_smoke_tests.m,docs/repository/maintained_entrypoints.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=5; test references=3; documentation references=1,""
analysis/mrlfe/mrlfeOutputFolder.m,.m,analysis,17,10,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,analysis/mrlfe/mrlfeWriteSweepOutputs.m;tests/shared/utilities/test_model_output_folder_helpers.m,none found,tests/shared/utilities/test_model_output_folder_helpers.m,docs/repository/maintained_entrypoints.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=2; test references=1; documentation references=1,""
analysis/mrlfe/mrlfeRunSweepExample.m,.m,analysis,110,95,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,examples/mrlfe/sweeps/mrlfe_sweep_etaS_A0Like.m;examples/mrlfe/sweeps/mrlfe_sweep_etaS_S0Like.m;examples/mrlfe/sweeps/mrlfe_sweep_mu_A0Like.m;examples/mrlfe/sweeps/mrlfe_sweep_mu_S0Like.m;examples/mrlfe/sweeps/mrlfe_sweep_thickness_A0Like.m;examples/mrlfe/sweeps/mrlfe_sweep_thickness_S0Like.m,none found,,docs/repository/maintained_entrypoints.md;docs/workflows/sweeps/parametric_sweeps.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=6; test references=0; documentation references=2,""
analysis/mrlfe/mrlfeSaveExampleFigure.m,.m,analysis,19,14,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,analysis/mrlfe/mrlfeRunSweepExample.m,none found,,docs/repository/maintained_entrypoints.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=1; test references=0; documentation references=1,""
analysis/mrlfe/mrlfeSelectRealKBranches.m,.m,analysis,34,21,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,examples/mrlfe/diagnostics/archive/diagnose_mrlfe_visco_validity_breakdown.m;examples/mrlfe/diagnostics/archive/stress_test_mrlfe_real_k_range.m;tests/models/mrlfe/test_mrlfe_etaS_zero_diagnostic_selection.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,none found,tests/models/mrlfe/test_mrlfe_etaS_zero_diagnostic_selection.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,docs/repository/maintained_entrypoints.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=5; test references=3; documentation references=1,""
analysis/mrlfe/mrlfeSetYoungModulusForShearPoisson.m,.m,analysis,28,14,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,examples/mrlfe/diagnostics/archive/diagnose_mrlfe_visco_residual_landscape.m;examples/mrlfe/diagnostics/archive/diagnose_mrlfe_visco_validity_breakdown.m;examples/mrlfe/diagnostics/archive/stress_test_mrlfe_real_k_range.m;tests/models/mrlfe/test_mrlfe_diagnostic_material_sweep_contract.m;tests/models/mrlfe/test_mrlfe_etaS_zero_diagnostic_selection.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,none found,tests/models/mrlfe/test_mrlfe_diagnostic_material_sweep_contract.m;tests/models/mrlfe/test_mrlfe_etaS_zero_diagnostic_selection.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/runners/run_mrlfe_smoke_tests.m,docs/repository/maintained_entrypoints.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=7; test references=4; documentation references=1,""
analysis/mrlfe/mrlfeWriteSweepOutputs.m,.m,analysis,16,10,shared reusable support,"request, fitting, sweep, or diagnostic helper",1,analysis/mrlfe/mrlfeRunSweepExample.m,none found,,docs/repository/maintained_entrypoints.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=1; test references=0; documentation references=1,""
analysis/mrlfe/summarizeMRLFETrackingQuality.m,.m,analysis,159,136,diagnostic-only helper,"current tracking quality summarizer",0,analysis/mrlfe/compareMRLFETrackingStrategies.m;analysis/repository_audit/buildRepositoryDensityAudit.m;tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/models/mrlfe/test_mrlfe_tracking_quality_summary.m;tests/runners/run_mrlfe_smoke_tests.m,explicit dynamic reference,tests/models/mrlfe/test_mrlfe_maintained_entrypoints_naming.m;tests/models/mrlfe/test_mrlfe_tracking_quality_summary.m;tests/runners/run_mrlfe_smoke_tests.m,README.md;docs/repository/maintained_entrypoints.md,retain,,low,"focused mRLFE tests",git-tracked; exact token callers=5; test references=3; documentation references=2,""
analysis/repository_audit/mrlfe_duplication_matrix.csv,.csv,analysis,15,15,supporting evidence,"mRLFE-related tracked artifact",0,,none,not applicable,docs/repository/mrlfe_line_and_repository_density_audit.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=1,""
analysis/repository_audit/mrlfe_file_decisions.csv,.csv,analysis,162,162,supporting evidence,"mRLFE-related tracked artifact",0,,none,not applicable,docs/repository/mrlfe_line_and_repository_density_audit.md,retain,,low,"static path/reference validation",git-tracked; exact token callers=0; test references=0; documentation references=1,""
app/adapters/guiBuildMRLFECompatibilityResult.m,.m,app,32,24,application/interface line,"mRLFE surface adapter",1,app/adapters/guiRunMRLFEModel.m;app/adapters/guiRunMRLFESweep.m,none found,,docs/repository/mrlfe_line_and_repository_cleanup_report.md,refactor,thin orchestrator plus shared request/result metadata helpers,high,"surface public-solver test plus parity characterization",git-tracked; exact token callers=2; test references=0; documentation references=1,""
app/adapters/guiFitMRLFESolver.m,.m,app,108,95,application/interface line,"mRLFE surface adapter",1,analysis/repository_audit/buildRepositoryDensityAudit.m;app/fitting/guiRunFit.m;tests/app/fitting/test_gui_mrlfe_fit_route_policy_contract.m;tests/app/fitting/test_gui_mrlfe_fixed_etaS_fit_contract.m;tests/app/fitting/test_mrlfe_fit_public_solver_parameter_regression.m;tests/app/fitting/test_mrlfe_fit_uses_public_solver.m;tests/models/mrlfe/test_mrlfe_no_legacy_route_flags.m;tests/models/mrlfe/test_mrlfe_no_legacy_routes.m;tests/models/mrlfe/test_mrlfe_production_core_contract.m;tests/runners/run_gui_smoke_tests.m,explicit dynamic reference,tests/app/fitting/test_gui_mrlfe_fit_route_policy_contract.m;tests/app/fitting/test_gui_mrlfe_fixed_etaS_fit_contract.m;tests/app/fitting/test_mrlfe_fit_public_solver_parameter_regression.m;tests/app/fitting/test_mrlfe_fit_uses_public_solver.m;tests/models/mrlfe/test_mrlfe_no_legacy_route_flags.m;tests/models/mrlfe/test_mrlfe_no_legacy_routes.m;tests/models/mrlfe/test_mrlfe_production_core_contract.m;tests/runners/run_gui_smoke_tests.m,docs/models/mrlfe/fitting_workflow.md;docs/models/mrlfe/production_core.md;docs/models/mrlfe/public_api.md;docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_density_audit.md;docs/workflows/fitting/architecture.md;docs/workflows/gui/adapter_architecture.md;docs/workflows/gui/mrlfe_atlas_policy_integration.md,refactor,thin orchestrator plus shared request/result metadata helpers,high,"surface public-solver test plus parity characterization",git-tracked; exact token callers=10; test references=8; documentation references=8,""
app/adapters/guiNormalizeMRLFESweep.m,.m,app,111,95,application/interface line,"mRLFE surface adapter",1,app/adapters/guiRunMRLFESweep.m;tests/runners/run_gui_smoke_tests.m,none found,tests/runners/run_gui_smoke_tests.m,docs/repository/maintained_entrypoints.md;docs/repository/mrlfe_line_and_repository_density_audit.md;docs/workflows/gui/adapter_architecture.md;docs/workflows/sweeps/sweep_tool_usage.md,refactor,thin orchestrator plus shared request/result metadata helpers,high,"surface public-solver test plus parity characterization",git-tracked; exact token callers=2; test references=1; documentation references=4,""
